counter,timestamp,data_type,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
30,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.360090017319,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1765106506038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89218.81,89218.81,89218.81,89218.81,0.0,0.0,0.0
32,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.224609971046,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.08951997757,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.08951997757,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.08951997757,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.089869976044,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.089869976044,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.224490046501,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359580039978,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359580039978,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1765106507041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89218.8,89218.81,89218.8,89218.81,0.00152,33.9031478,2.0
42,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359580039978,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359580039978,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.360000014305,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359519958496,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.360000014305,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359519958496,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.0,89218.796875,3.550909996033,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.360000014305,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0.0,89218.796875,3.550790071487,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359519958496,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
